utterance,targets
Give me the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
What is the linear model of temperature predicting humidity  in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
What is the regression model of temperature predicting humidity in the WeatherHistory dataset?  ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
What is the regression equation of temperature predicting humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Given that temperature is 12 predict what the value of humidity would be in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What is the humidity when the temperature is 12 in the WeatherHistory dataset?  ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
"When the temperature is 12, what is the value of humidity in the WeatherHistory dataset?  ","lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What is the average temperature of the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Can you tell me what the average temperature of the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Find the total mean temperature in the WeatherHistory dataset.,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What is the lowest temperature of the WeatherHistory dataset,"max ( data = WeatherHistory, var1 = 'temperature' )"
Can you tell me what the temperature was on the coldest day in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
How cold did temperature get based on the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What is the highest temperature of the WeatherHistory dataset,"min ( data = WeatherHistory, var1 = 'temperature' )"
Can you tell me what the temperature was on the hottest day in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
How hot did temperature get based on the WeatherHistory dataset?,"min ( data = WeatherHistory, var1 = 'temperature' )"
What is the correlation between temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Describe the relationship of temperature and feeling_temperature based on their correlation in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Tell me the numeric correlation value of temperature and feeling_temperature in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Create a linear model of humidity through temperature in the WeatherHistory data frame in the WeatherHistory dataset.,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Describe the relationship of temperature and humidity in the WeatherHistory data frame by creating a linear model in the WeatherHistory dataset.,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Can you tell me difference in relationship of humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Predict the the linear model when the temperature is at 12 degrees in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
Find the temperature linear model at 12 degrees in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
Describe the linear model at temperature = 12 degrees by using prediction in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What is the mean of the temperature in the data WeatherHistory ? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Can you give me the average temperature of the data WeatherHistoryt? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Give the mean temperature of the data WeatherHistory.,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What is the minimum of the temperature in the data WeatherHistory? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
Can you give me the lowest temperature of the data WeatherHistory? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
Give the minimum temperature of the data WeatherHistory.,"max ( data = WeatherHistory, var1 = 'temperature' )"
What is the maximum of the temperature in the data WeatherHistory ? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
Can you give me the highest recorded temperature of the data WeatherHistory? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
Give the maximum recorded temperature of the data WeatherHistory.,"min ( data = WeatherHistory, var1 = 'temperature' )"
Calculate the correlation value between the variables temperature and  in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
What is the correlation between the variables temperature and  in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Can you give the correlation value between the variables temperature and  in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Fit a linear model between humidity and temperature in the WeatherHistory dataset. ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Create a regression model of temperature on humidity in the WeatherHistory dataset.,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Can you create a linear model of temperature on humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Can you calculate the predicted values of temperature for the model described in the previous question in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
Please give the predicted values of the temperaturefor the model described in the previous question in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What's the average temperature in the WeatherHistory dataset?  ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What's the mean temperature in the WeatherHistory dataset?  ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What's the temperature on any average day in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What is the maximum temperature in the WeatherHistory ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What's the hottest temperature in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
Give me the highest temperature degree in the WeatherHistory dataset. ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What is the lowest temperature in the WeatherHistory dataset?  ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What's the coldest temperature in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
Give me the lowest temperature degree in the WeatherHistory dataset. ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What's the relationship b/w temperature and  in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
How does temperature influence feeling_temperature in WeatherHistory,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Does temperature have an affect on feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
What's the relationship between the temperature and humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
How does temperature influence humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Does temperature have an affect on humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
What is the humidity when temperature is 12 in WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
temperature is 12 and humidity is what in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
Give me the expected humidity when temperature is 12 in the WeatherHistory dataset. ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What is the average temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Find the average temperature in the WeatherHistory dataset. ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Tell me the average temperature in the WeatherHistory dataset. ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What is the highest temperature value in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
Find the highest temperature value in the WeatherHistory dataset. ,"max ( data = WeatherHistory, var1 = 'temperature' )"
Tell me the highest temperature value in the WeatherHistory dataset. ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What is the lowest temperature value in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
Find the lowest temperature value in the WeatherHistory dataset. ,"min ( data = WeatherHistory, var1 = 'temperature' )"
Tell me the lowest temperature value in the WeatherHistory dataset. ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What is the correlation between temperature and  in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Find the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Tell me the correlation between temperature and feeling_temperature in the WeatherHistory dataset. ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
How does humidity respond to a change in temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
How strong is the linear relationship between humidity and temperature in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Can a change in temperature predict a change in humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Predict the humidity level when the temperature is 12 in the WeatherHistory dataset. ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What is the humidity when the temperature is 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What would the humidity be given a temperature of 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What's the average temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
"Of the listed temperature, what is the mean in the WeatherHistory dataset? ","mean ( data = WeatherHistory, var1 = 'temperature' )"
What is the mean temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Give the average temperature in the WeatherHistory dataset.,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Tell me the average temperature in the WeatherHistory dataset.,"mean ( data = WeatherHistory, var1 = 'temperature' )"
"Of the listed temperature values, which is the highest in the WeatherHistory dataset? ","max ( data = WeatherHistory, var1 = 'temperature' )"
What is the highest temperature listed in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
Which listed temperature is the greatest in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
Give me the highest temperature value in the WeatherHistory dataset.,"max ( data = WeatherHistory, var1 = 'temperature' )"
What is the highest temperature value in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What's the highest temperature value in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
"Of the listed temperature values, which is the lowest in the WeatherHistory dataset? ","min ( data = WeatherHistory, var1 = 'temperature' )"
What is the lowest temperature listed in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
Which listed temperature is the least in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
Give me the lowest temperature value in the WeatherHistory dataset.,"min ( data = WeatherHistory, var1 = 'temperature' )"
What is the lowest temperature value in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What's the lowest temperature value in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What is the actual temperature and feeling_temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Give me the actual temperature and feeling_temperature in the WeatherHistory dataset.,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
"Tell me what feeling_temperature is outside, and what's the actual temperature in the WeatherHistory dataset? ","corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
"What temperature does it feel like outside, and tell me the actual temperature in the WeatherHistory dataset.","corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Is the feeling_temperature higher than the actual temperature (and vice-versa) in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
By how much is the feeling_temperature higher than the actual temperature (and vice-versa) in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
What's the relationship between temperature and humidity in the WeatherHistory dataset?  ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
How correlated are temperature and humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
How are temperature and humidity correlated in the WeatherHistory dataset?  ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
To what extent are temperature and humidity in the WeatherHistory dataset?  ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
What's the humidity at temperature = 12 degrees in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
"At temperature = 12 degrees, what's the predicted humidity in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What is the humidity at the current temperature in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What is the humidity at the predicted temperature at 12 pm in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
"At temperature is  12 degrees, what will the humidity be in the WeatherHistory dataset? ","lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
what is the average temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
what's the mean temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
how is the temperature usually in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
what is the typical temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
how hot does temperature get in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
how hot has temperature ever gotten in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
what is the highest temperature recorded in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
how cold does temperature get in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
what's the coldest temperature has ever been in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
what is the lowest temperature recorded in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
does the feeling_weather like what was forecasted as a temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
to what extent does the temperature forecasted match the actual temperature in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
is the temperature accurate to how it feels in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
what is the relationship between temperature and humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
how does temperature affect humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
is temperature correlated with humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
"when temperature is 12 degrees Celsius, what will the humidity be in the WeatherHistory dataset?   ","lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
what will the humidity be when temperature is 12 degrees celsius in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
can I have the forecasted humidity level for when it's temperature is 12 degrees in the WeatherHistory dataset?  ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
what is the average temperature in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
what is the highest temperature recorded in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
what is the lowest temperature recorded in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
is there a correlation beteeen temperature and  in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
is there a linear relationship between temperature and humidity in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
what is your prediction of humidity when the temperature is 12 in WeatherHistory data.,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What is the average temperature in the WeatherHistory dataset?  ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What’s the average temperature today in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
Could you check the average temperature today in the WeatherHistory dataset? ,"mean ( data = WeatherHistory, var1 = 'temperature' )"
What is the highest temperature value in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What’s the highest temperature today in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
How high does the temperature go in the WeatherHistory dataset? ,"max ( data = WeatherHistory, var1 = 'temperature' )"
What is the lowest temperature value in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What’s the lowest temperature today in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What’s the coldest temperature today in the WeatherHistory dataset? ,"min ( data = WeatherHistory, var1 = 'temperature' )"
What is the correlation between <var1> and <var2> in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
What’s the relationship between <var1> and <var2> in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
Do you see any correlation between <var1> and <var2> in the WeatherHistory dataset? ,"corr ( data = WeatherHistroy, var1 = 'temperature', var2 = 'feeling_temperature' )"
What is the linear relationship of <var1> and <var2> in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Do you notice any linear relationship between <var1> and <var2> in the WeatherHistory dataset? ,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
Look for a linear relationship between <var1> and <var2> in the WeatherHistory dataset.,"lr ( data = WeatherHistory, var1 = 'temperature', var2 = 'humidity' )"
What is your prediction of humidity when temperature is 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
Predict the humidity when temperature is 12 in the WeatherHistory dataset.,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
What do you think the humidity should be when the temperature is 12 in the WeatherHistory dataset? ,"lr_pred ( model = linreg, newdata = { 'temperature' : 12 } ) )"
